timestamp,system,M,size,build_ef,graph,k,search_ef,recall,qps_t,hop,dist,thread
2024-08-01 17:20:22.202,hnsw_pickle,32,1M,100,bigann,1,1,49.9,13719,8.7,299.5,48
2024-08-01 17:20:22.249,hnsw_pickle,32,1M,100,bigann,1,5,81.3,9141,13.3,521.4,48
2024-08-01 17:20:22.316,hnsw_pickle,32,1M,100,bigann,1,10,91.0,6113,18.1,721.5,48
2024-08-01 17:20:22.421,hnsw_pickle,32,1M,100,bigann,1,20,96.6,3843,27.5,1075.6,48
2024-08-01 17:20:22.561,hnsw_pickle,32,1M,100,bigann,1,30,98.3,2856,37.2,1406.9,48
2024-08-01 17:20:22.771,hnsw_pickle,32,1M,100,bigann,1,50,99.4,1904,56.9,2023.4,48
2024-08-01 17:20:23.047,hnsw_pickle,32,1M,100,bigann,1,70,99.8,1452,76.7,2593.3,48
2024-08-01 17:20:23.384,hnsw_pickle,32,1M,100,bigann,1,90,99.8,1178,96.5,3128.6,48
2024-08-01 17:20:23.753,hnsw_pickle,32,1M,100,bigann,1,100,99.9,1078,106.5,3386.7,48
2024-08-01 17:20:24.410,hnsw_pickle,32,1M,100,bigann,1,200,100.0,604,206.3,5715.1,48
2024-08-01 17:20:25.339,hnsw_pickle,32,1M,100,bigann,1,300,100.0,427,306.2,7758.6,48
2024-08-01 17:20:26.520,hnsw_pickle,32,1M,100,bigann,1,400,100.0,336,406.2,9627.6,48
2024-08-01 17:20:27.941,hnsw_pickle,32,1M,100,bigann,1,500,100.0,280,506.1,11373.2,48
2024-08-01 17:20:28.012,hnsw_pickle,32,1M,100,bigann,10,10,86.3,5680,18.1,721.5,48
2024-08-01 17:20:28.118,hnsw_pickle,32,1M,100,bigann,10,20,93.7,3870,27.5,1075.6,48
2024-08-01 17:20:28.259,hnsw_pickle,32,1M,100,bigann,10,30,96.5,2845,37.2,1406.9,48
2024-08-01 17:20:28.471,hnsw_pickle,32,1M,100,bigann,10,50,98.5,1888,56.9,2023.4,48
2024-08-01 17:20:28.756,hnsw_pickle,32,1M,100,bigann,10,70,99.2,1455,76.7,2593.3,48
2024-08-01 17:20:29.096,hnsw_pickle,32,1M,100,bigann,10,90,99.5,1169,96.5,3128.6,48
2024-08-01 17:20:29.470,hnsw_pickle,32,1M,100,bigann,10,100,99.6,1051,106.5,3386.7,48
2024-08-01 17:20:30.126,hnsw_pickle,32,1M,100,bigann,10,200,99.9,606,206.3,5715.1,48
2024-08-01 17:20:31.059,hnsw_pickle,32,1M,100,bigann,10,300,100.0,431,306.2,7758.6,48
2024-08-01 17:20:32.243,hnsw_pickle,32,1M,100,bigann,10,400,100.0,337,406.2,9627.6,48
2024-08-01 17:20:33.674,hnsw_pickle,32,1M,100,bigann,10,500,100.0,277,506.1,11373.2,48
2024-08-01 17:20:34.096,hnsw_pickle,32,1M,100,bigann,100,100,97.9,1050,106.5,3386.7,48
2024-08-01 17:20:34.820,hnsw_pickle,32,1M,100,bigann,100,200,99.5,581,206.3,5715.1,48
2024-08-01 17:20:35.815,hnsw_pickle,32,1M,100,bigann,100,300,99.8,416,306.2,7758.6,48
2024-08-01 17:20:37.076,hnsw_pickle,32,1M,100,bigann,100,400,99.9,326,406.2,9627.6,48
2024-08-01 17:20:38.589,hnsw_pickle,32,1M,100,bigann,100,500,99.9,269,506.1,11373.2,48
2024-08-01 17:37:52.346,hnsw_pickle,32,1M,300,bigann,1,1,50.6,9590,8.7,296.3,48
2024-08-01 17:37:52.394,hnsw_pickle,32,1M,300,bigann,1,5,83.1,8826,13.4,522.4,48
2024-08-01 17:37:52.463,hnsw_pickle,32,1M,300,bigann,1,10,92.2,5935,18.1,725.9,48
2024-08-01 17:37:52.572,hnsw_pickle,32,1M,300,bigann,1,20,97.2,3722,27.5,1088.6,48
2024-08-01 17:37:52.717,hnsw_pickle,32,1M,300,bigann,1,30,98.7,2754,37.2,1430.0,48
2024-08-01 17:37:52.933,hnsw_pickle,32,1M,300,bigann,1,50,99.5,1847,56.9,2065.9,48
2024-08-01 17:37:53.217,hnsw_pickle,32,1M,300,bigann,1,70,99.8,1402,76.7,2655.2,48
2024-08-01 17:37:53.566,hnsw_pickle,32,1M,300,bigann,1,90,99.9,1141,96.6,3209.9,48
2024-08-01 17:37:53.946,hnsw_pickle,32,1M,300,bigann,1,100,99.9,1047,106.5,3477.4,48
2024-08-01 17:37:54.626,hnsw_pickle,32,1M,300,bigann,1,200,100.0,584,206.3,5891.9,48
2024-08-01 17:37:55.584,hnsw_pickle,32,1M,300,bigann,1,300,100.0,413,306.2,8016.1,48
2024-08-01 17:37:56.802,hnsw_pickle,32,1M,300,bigann,1,400,100.0,324,406.2,9958.2,48
2024-08-01 17:37:58.276,hnsw_pickle,32,1M,300,bigann,1,500,100.0,270,506.2,11773.5,48
2024-08-01 17:37:58.347,hnsw_pickle,32,1M,300,bigann,10,10,87.1,5743,18.1,725.9,48
2024-08-01 17:37:58.456,hnsw_pickle,32,1M,300,bigann,10,20,94.3,3745,27.5,1088.6,48
2024-08-01 17:37:58.603,hnsw_pickle,32,1M,300,bigann,10,30,97.0,2743,37.2,1430.0,48
2024-08-01 17:37:58.820,hnsw_pickle,32,1M,300,bigann,10,50,98.9,1845,56.9,2065.9,48
2024-08-01 17:37:59.104,hnsw_pickle,32,1M,300,bigann,10,70,99.5,1399,76.7,2655.2,48
2024-08-01 17:37:59.454,hnsw_pickle,32,1M,300,bigann,10,90,99.7,1137,96.6,3209.9,48
2024-08-01 17:37:59.834,hnsw_pickle,32,1M,300,bigann,10,100,99.8,1044,106.5,3477.4,48
2024-08-01 17:38:00.513,hnsw_pickle,32,1M,300,bigann,10,200,100.0,583,206.3,5891.9,48
2024-08-01 17:38:01.472,hnsw_pickle,32,1M,300,bigann,10,300,100.0,412,306.2,8016.1,48
2024-08-01 17:38:02.694,hnsw_pickle,32,1M,300,bigann,10,400,100.0,325,406.2,9958.2,48
2024-08-01 17:38:04.159,hnsw_pickle,32,1M,300,bigann,10,500,100.0,270,506.2,11773.5,48
2024-08-01 17:38:04.578,hnsw_pickle,32,1M,300,bigann,100,100,98.3,1039,106.5,3477.4,48
2024-08-01 17:38:05.299,hnsw_pickle,32,1M,300,bigann,100,200,99.6,578,206.3,5891.9,48
2024-08-01 17:38:06.299,hnsw_pickle,32,1M,300,bigann,100,300,99.9,411,306.2,8016.1,48
2024-08-01 17:38:07.562,hnsw_pickle,32,1M,300,bigann,100,400,99.9,324,406.2,9958.2,48
2024-08-01 17:38:09.084,hnsw_pickle,32,1M,300,bigann,100,500,100.0,268,506.2,11773.5,48
2024-08-01 18:18:09.247,hnsw_pickle,32,1M,500,bigann,1,1,50.4,15761,8.6,302.1,48
2024-08-01 18:18:09.295,hnsw_pickle,32,1M,500,bigann,1,5,83.0,8795,13.2,528.9,48
2024-08-01 18:18:09.364,hnsw_pickle,32,1M,500,bigann,1,10,92.0,5955,17.9,734.4,48
2024-08-01 18:18:09.473,hnsw_pickle,32,1M,500,bigann,1,20,97.1,3719,27.4,1102.0,48
2024-08-01 18:18:09.618,hnsw_pickle,32,1M,500,bigann,1,30,98.8,2748,37.0,1448.5,48
2024-08-01 18:18:09.837,hnsw_pickle,32,1M,500,bigann,1,50,99.6,1825,56.7,2093.5,48
2024-08-01 18:18:10.122,hnsw_pickle,32,1M,500,bigann,1,70,99.9,1391,76.5,2692.9,48
2024-08-01 18:18:10.474,hnsw_pickle,32,1M,500,bigann,1,90,99.9,1131,96.4,3256.8,48
2024-08-01 18:18:10.856,hnsw_pickle,32,1M,500,bigann,1,100,99.9,1038,106.4,3529.3,48
2024-08-01 18:18:11.543,hnsw_pickle,32,1M,500,bigann,1,200,100.0,577,206.1,5990.2,48
2024-08-01 18:18:12.509,hnsw_pickle,32,1M,500,bigann,1,300,100.0,409,306.1,8155.7,48
2024-08-01 18:18:13.746,hnsw_pickle,32,1M,500,bigann,1,400,100.0,320,406.0,10137.1,48
2024-08-01 18:18:15.234,hnsw_pickle,32,1M,500,bigann,1,500,100.0,266,506.0,11988.5,48
2024-08-01 18:18:15.305,hnsw_pickle,32,1M,500,bigann,10,10,86.9,5788,17.9,734.4,48
2024-08-01 18:18:15.415,hnsw_pickle,32,1M,500,bigann,10,20,94.3,3718,27.4,1102.0,48
2024-08-01 18:18:15.561,hnsw_pickle,32,1M,500,bigann,10,30,97.0,2750,37.0,1448.5,48
2024-08-01 18:18:15.780,hnsw_pickle,32,1M,500,bigann,10,50,98.9,1829,56.7,2093.5,48
2024-08-01 18:18:16.067,hnsw_pickle,32,1M,500,bigann,10,70,99.4,1391,76.5,2692.9,48
2024-08-01 18:18:16.419,hnsw_pickle,32,1M,500,bigann,10,90,99.7,1135,96.4,3256.8,48
2024-08-01 18:18:16.804,hnsw_pickle,32,1M,500,bigann,10,100,99.8,1030,106.4,3529.3,48
2024-08-01 18:18:17.492,hnsw_pickle,32,1M,500,bigann,10,200,100.0,577,206.1,5990.2,48
2024-08-01 18:18:18.458,hnsw_pickle,32,1M,500,bigann,10,300,100.0,410,306.1,8155.7,48
2024-08-01 18:18:19.697,hnsw_pickle,32,1M,500,bigann,10,400,100.0,320,406.0,10137.1,48
2024-08-01 18:18:21.191,hnsw_pickle,32,1M,500,bigann,10,500,100.0,265,506.0,11988.5,48
2024-08-01 18:18:21.613,hnsw_pickle,32,1M,500,bigann,100,100,98.4,1034,106.4,3529.3,48
2024-08-01 18:18:22.354,hnsw_pickle,32,1M,500,bigann,100,200,99.7,569,206.1,5990.2,48
2024-08-01 18:18:23.375,hnsw_pickle,32,1M,500,bigann,100,300,99.9,406,306.1,8155.7,48
2024-08-01 18:18:24.661,hnsw_pickle,32,1M,500,bigann,100,400,100.0,317,406.0,10137.1,48
2024-08-01 18:18:26.217,hnsw_pickle,32,1M,500,bigann,100,500,100.0,262,506.0,11988.5,48
2024-08-01 17:34:51.437,hnsw_pickle,32,10M,100,bigann,1,1,40.0,9293,9.7,361.7,48
2024-08-01 17:34:51.509,hnsw_pickle,32,10M,100,bigann,1,5,74.0,5899,14.8,624.8,48
2024-08-01 17:34:51.606,hnsw_pickle,32,10M,100,bigann,1,10,85.4,4175,19.7,859.4,48
2024-08-01 17:34:51.751,hnsw_pickle,32,10M,100,bigann,1,20,93.3,2806,29.2,1274.8,48
2024-08-01 17:34:51.941,hnsw_pickle,32,10M,100,bigann,1,30,96.0,2114,38.8,1664.7,48
2024-08-01 17:34:52.222,hnsw_pickle,32,10M,100,bigann,1,50,98.3,1427,58.3,2406.7,48
